stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\Documents\GitHub\BreakoutLevelEditor\bin\Debug\allegro5.cfg r
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38469] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38499] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38500] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38532] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38533] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38565] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38566] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38767] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38769] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38888] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38889] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.39963] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.39964] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40096] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40097] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40124] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40125] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40155] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40156] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40188] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40189] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40219] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40220] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40253] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40254] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40458] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40459] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40574] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40576] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41634] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41636] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41777] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41779] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41806] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41808] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41840] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41841] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41873] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41874] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41907] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41909] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41941] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41942] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.42148] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.42150] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.42268] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.42269] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43349] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43350] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43565] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43567] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43600] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43601] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43633] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43634] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43666] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43667] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43701] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43702] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43734] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43735] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43969] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43971] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.44097] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.44098] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.44928] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.44929] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45128] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45130] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45162] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45163] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45196] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45197] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45229] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45230] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45262] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45263] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45296] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45298] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45527] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45529] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45652] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45654] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46628] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46629] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46850] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46852] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46888] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46889] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46921] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46923] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46954] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46955] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46990] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46991] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47025] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47026] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47242] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47243] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47366] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47368] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48316] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48318] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48531] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48533] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48568] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48569] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48599] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48600] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48631] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48632] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48677] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48679] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48721] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48722] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.48949] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.48951] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49066] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49067] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.49923] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.49924] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50130] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50132] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50168] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50170] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50203] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50205] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50240] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50241] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50273] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50274] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50306] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50307] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50511] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50512] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50629] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50630] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51619] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51621] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51846] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51848] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51880] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51881] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51913] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51914] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51948] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51949] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51982] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51983] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.52015] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.52016] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.52224] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.52225] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.52360] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.52361] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.53325] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.53327] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.53466] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.53467] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.53500] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.53501] _al_d3d_sync_bitmap (video) ref count == 1
